study_id,year,author,condition,population_type,population_age,outcome_cat,outcome_direction,blinding,control_type,wavelength_nm,session_duration_min,session_count,study_design,application,sample,source,publisher
S037,2025,Fradkin et al.,Autism Spectrum Disorder,clinical,pediatric,Autism symptoms,positive,no blinding,no control group,850,12,20,open-label pilot,transcranial,23,Transcranial photobiomodulation for reducing symptoms of autism spectrum disorder and modulating brain electrophysiology in children aged 2–7: an open label study - PMC,PubMed
S038,2024,Hao et al.,Major Depressive Disorder,clinical,adult,Depression,positive,double-blind,placebo-controlled,820,16,14,open-label pilot,transcranial,11,Efficacy of transcranial photobiomodulation in the treatment for major depressive disorder: A TMS-EEG and pilot study - PubMed,PubMed
S039,2025,Jarrahi et al.,Dementia,clinical,geriatric,Cognitive Function; Depression; Anxiety,negative,double-blind,placebo-controlled,,,,RCT,transcranial,30,The Efficacy of Photobiomodulation Therapy in Improving Cognitive Function and Reducing Depression and Anxiety in Patients with Mild-to-Moderate Dementia: A Double-Blinded Randomized Clinical Trial - PubMed,PubMed
S040,2022,Blivet et al.,Alzheimer's,clinical,geriatric,Brain-gut,positive,double-blind,sham-controlled,850,25,40,RCT,transcranial,53,"A Randomized, Double-Blind, and Sham-Controlled Trial of an Innovative Brain-Gut Photobiomodulation Therapy: Safety and Patient Compliance - PubMed",PubMed
S041,2024,Razzaghi et al.,Alzheimer's,clinical,geriatric,Dementia; Cognitive Function,positive,double-blind,sham-controlled,810,20,84,RCT,transcranial,13,Photobiomodulation's potential as a non-invasive therapy for alzheimer's disease and minimal cognitive impairment: A 12-week investigation - PubMed,PubMed
S042,2023,Lee et al.,Healthy,healthy,adult,Cognitive Function,positive,double-blind,sham-controlled,810,5.83,1,single-arm; pre-post,transcranial,30,Frontiers | Photobiomodulation may enhance cognitive efficiency in older adults: a functional near-infrared spectroscopy study,Frontiers
S043,2019,Jahan et al.,Healthy,healthy,adult,Attention,positive,double-blind,sham-controlled,850,2.5,1,RCT,transcranial,30,Transcranial near-infrared photobiomodulation could modulate brain electrophysiological features and attentional performance in healthy young adults - PubMed,PubMed
S044,2021,Kheradmand et al.,Schizophrenia,clinical,adult,Schizophrenia,negative,double-blind,placebo-controlled,810,10,5,RCT,transcranial,32,Effect of low-level laser therapy (LLLT) on cognitive impairment among patients with chronic schizophrenia: a double-blind randomized placebo-controlled clinical trial,ResearchGate
S045,2022,Kheradmand et al.,Dementia,clinical,geriatric,Cognitive Function,positive,double-blind,sham-controlled,630,10,6,RCT,transcrainial,32,Therapeutic Effects of Low-Level Laser Therapy on Cognitive Symptoms of Patients with Dementia: A Double-Blinded Randomized Clinical Trial,Sage Journals
S046,2025,Saltmarche et al.,Parkinson's disease,clinical,geriatric,Motor Skills,positive,double-blind,placebo-controlled, ,24,48,RCT,transcranial,63,Effectiveness of Photobiomodulation to Treat Motor and Non-Motor Symptoms of Parkinson’s Disease: A Randomised Clinical Trial with Extended Treatment,MDPI
